[step],total-discharged,total-recovered,patient-deaths,successful-antibiotics,total-antibiotic-failures,total-mutations
259,60.97530864197531,60.18518518518518,0.16049382716049382,60.18518518518518,1.2592592592592593,104.0
260,61.19753086419753,60.27160493827161,0.16049382716049382,60.27160493827161,1.2839506172839505,104.44444444444444
261,61.370370370370374,60.333333333333336,0.16049382716049382,60.333333333333336,1.308641975308642,104.8641975308642
262,61.8625,60.5875,0.1625,60.5875,1.2375,104.975
263,60.96103896103896,59.63636363636363,0.16883116883116883,59.63636363636363,1.2597402597402598,102.76623376623377
264,61.22077922077922,59.8051948051948,0.16883116883116883,59.8051948051948,1.3116883116883118,103.36363636363636
265,61.10526315789474,59.5,0.18421052631578946,59.5,1.2894736842105263,102.98684210526316
266,61.3421052631579,59.64473684210526,0.18421052631578946,59.64473684210526,1.3026315789473684,103.52631578947368
267,61.56578947368421,59.78947368421053,0.18421052631578946,59.78947368421053,1.2763157894736843,103.9342105263158
268,61.10666666666667,59.28,0.17333333333333334,59.28,1.2533333333333334,102.24
269,61.32432432432432,59.36486486486486,0.17567567567567569,59.36486486486486,1.2702702702702702,100.32432432432432
270,61.554054054054056,59.486486486486484,0.1891891891891892,59.486486486486484,1.2162162162162162,100.8108108108108
271,61.7027027027027,59.608108108108105,0.20270270270270271,59.608108108108105,1.1891891891891893,101.3108108108108
272,61.972972972972975,59.689189189189186,0.20270270270270271,59.689189189189186,1.1891891891891893,101.78378378378379
273,62.64383561643836,60.0,0.2054794520547945,60.0,1.1917808219178083,101.45205479452055
274,62.9041095890411,60.16438356164384,0.2054794520547945,60.16438356164384,1.2191780821917808,101.83561643835617
275,62.30555555555556,59.47222222222222,0.20833333333333334,59.47222222222222,1.25,101.02777777777777
276,62.513888888888886,59.55555555555556,0.20833333333333334,59.55555555555556,1.2222222222222223,101.45833333333333
277,62.65277777777778,59.638888888888886,0.20833333333333334,59.638888888888886,1.2638888888888888,101.875
278,62.38028169014085,59.15492957746479,0.2112676056338028,59.15492957746479,1.2253521126760563,101.59154929577464
279,62.605633802816904,59.23943661971831,0.2112676056338028,59.23943661971831,1.2112676056338028,102.04225352112677
280,62.76056338028169,59.478873239436616,0.2112676056338028,59.478873239436616,1.1126760563380282,102.56338028169014
281,62.859154929577464,59.605633802816904,0.2112676056338028,59.605633802816904,1.0985915492957747,103.0
282,62.30434782608695,58.971014492753625,0.2028985507246377,58.971014492753625,1.1304347826086956,100.0
283,63.03030303030303,59.303030303030305,0.21212121212121213,59.303030303030305,1.0909090909090908,98.28787878787878
284,63.15151515151515,59.40909090909091,0.21212121212121213,59.40909090909091,1.0757575757575757,98.65151515151516
285,63.36363636363637,59.515151515151516,0.21212121212121213,59.515151515151516,1.0606060606060606,99.03030303030303
286,63.45454545454545,59.60606060606061,0.21212121212121213,59.60606060606061,1.0606060606060606,99.54545454545455
287,62.96923076923077,59.04615384615385,0.2153846153846154,59.04615384615385,1.0153846153846153,98.46153846153847
288,63.53125,59.375,0.21875,59.375,1.03125,99.046875
